"001: Weed Problem" "44:17"
"002: He Is Not Dead, but Sleepeth" "38:00"
"003: Eleven Floors Down" "26:50"
"004: Reasoning in State Hospital" "60:18"
"005: A Lovely Pear" "12:53"
"006: The Myth of Dinosaurs" "65:57"
"007: Reptilian Takeover" "60:00"
"008: A Wall Between Two Gardens" "42:59"
"009: First Our Pleasures Die" "62:24"
"010: A White Surveillance Van" "52:57"
"011: Spacewalking Your New Way Home" "118:23"
"012: Timeship 2012" "213:56"
"013: Elsa, Are You in There?" "42:04"
"014: Upon One Pair of English Legs" "26:34"
"015: Sun Ritual" "47:08"
"016: Get Tree Body (Brainwash Solution)" "56:43"
"017: Its Bones Are Soft" "85:35"
"018: Candles Green, Heads and Skulls" "265:29"
"019: Hypnosis, Drugs, and Mind Control (The Beginning: A Touch)" "480:00"
"020: Legend of Degree" "53:20"
"021: A Series of Elaborate Precautions" "50:08"
"022: Man-Lizards, Masters of Venus" "20:44"
"023: Odd Things, Brick Buildings" "52:07"
"024: Some Vast Unknown" "55:40"
"025: Tale of an Earth Man" "75:44"
"026: A Curious Picture You See With Your Eyes Closed" "47:12"
"027: Spirits Clad in Veils" "44:14"
"028: Even to the Edge of Doom" "1440:00"
"029: Lions on a Banner" "65:22"
"030: In That Shadow Lurks a Smile" "66:07"
"031: Babylonian Mathematics" "30:56"
"032: There Is Nothing Hidden That Will Not Be Revealed Pt. 1" "56:16"
"033: There Is Nothing Hidden That Will Not Be Revealed Pt. 2" "47:15"
"034: There Is Nothing Hidden That Will Not Be Revealed Pt. 3" "53:46"
"035: There Is Nothing Hidden That Will Not Be Revealed Pt. 4" "57:59"
"036: As Two From Ten Thousand Pt. 1" "104:59"
"037: As Two From Ten Thousand Pt. 2" "40:40"
"038: A Foot in Place of a Foot" "20:48"
"039: Become Smaller and Smaller" "31:45"
"040: A Beautiful Dog" "8:37"
"041: By What Eternal Streams" "53:56"
"042: Pre-Human Spawn of Cthulhu" "54:35"
"043: He Is Cruel and Moves With Great Cunning" "817:33"
"044: A Corpse in My Arms on Awakening" "2250:00"
"045: The Wicked Cease From Struggling" "10080:00"
"046: In All Creatures Are Lust and Hunger" "59:12"
"047: At One With Their Antagonists" "85:20"
"048: Foreign Ideas, Alien Philosophies" "104:32"
"049: The Abyss of the Human Species" "57:06"
"050: Far From the Black Ocean" "55:45"
"051: Our Light Is a Voice" "72:35"
"052: Without Hope, a Mute Offender" "58:41"
